series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
Volkswagen Auto Lease Trust 2022-A,2023-01-31,2,2884,55025076.145,92745992.07,463.0
Volkswagen Auto Lease Trust 2022-A,2023-01-31,3,32,445523.005,644412.34,0.0
Volkswagen Auto Lease Trust 2022-A,2023-01-31,98,28,494687.565,390270.99,0.0
Volkswagen Auto Lease Trust 2022-A,2024-01-31,1,1191,22587384.835,26051155.020000003,4337.1
Volkswagen Auto Lease Trust 2022-A,2024-01-31,2,10631,210854985.725,267223663.7,291125.1
Volkswagen Auto Lease Trust 2022-A,2024-01-31,3,120,2059860.2650000001,2293516.31,0.0
Volkswagen Auto Lease Trust 2022-A,2024-01-31,98,86,1650286.4150000003,957459.7000000002,2615.0
Volkswagen Auto Lease Trust 2022-A,2024-02-29,1,187,3670828.08,4053458.19,0.0
Volkswagen Auto Lease Trust 2022-A,2024-02-29,2,1395,30151103.32,34100293.730000004,131164.28
Volkswagen Auto Lease Trust 2022-A,2024-02-29,3,12,240196.1,195400.22,0.0
Volkswagen Auto Lease Trust 2022-A,2024-02-29,98,7,171612.375,43948.1,0.0
Volkswagen Auto Lease Trust 2022-A,2024-03-29,1,192,3955731.785,4306043.75,0.0
Volkswagen Auto Lease Trust 2022-A,2024-03-29,2,1501,31789766.525,36089829.41,115650.81999999999
Volkswagen Auto Lease Trust 2022-A,2024-03-29,3,12,210397.545,161586.75,0.0
Volkswagen Auto Lease Trust 2022-A,2024-03-29,98,9,177172.87,126083.27,0.0
Volkswagen Auto Lease Trust 2022-A,2024-04-30,1,278,5720385.57,6267641.34,0.0
Volkswagen Auto Lease Trust 2022-A,2024-04-30,2,1659,35675859.150000006,40244360.39,164708.65
Volkswagen Auto Lease Trust 2022-A,2024-04-30,3,8,131726.96,140526.6,0.0
Volkswagen Auto Lease Trust 2022-A,2024-04-30,98,13,262108.37,60604.24999999999,0.0
Volkswagen Auto Lease Trust 2022-A,2024-05-31,1,152,3173877.4699999997,3422007.06,0.0
