series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
Ford Credit Auto Lease Trust 2017-A,2018-06-30,35790,35425,323,42,868168956.1600025,718656334.4099994,622792829.7500002,1345526033.0000014,34276,0,1514,16
Ford Credit Auto Lease Trust 2017-A,2019-06-30,13556,13357,160,39,288969521.7300001,247080788.97000068,238844246.91000018,516511112.24999964,12849,0,707,28
Ford Credit Auto Lease Trust 2017-A,2017-07-31,46402,46009,346,47,1283875598.5999994,1037147850.7300007,813690602.9499964,1736763227.3400176,44143,0,2259,5
Ford Credit Auto Lease Trust 2017-A,2018-07-31,34490,34092,341,57,825186444.1000017,685269944.4300056,599366629.749999,1296758509.0100105,33048,0,1442,17
Ford Credit Auto Lease Trust 2017-A,2019-07-31,11223,11025,164,34,237134395.87000027,203790366.8499995,198402862.60000017,429094780.2599995,10617,0,606,29
Ford Credit Auto Lease Trust 2017-A,2017-08-31,45662,45289,317,56,1248979126.3700051,1011773502.6799991,800755087.5599989,1710173598.170008,43450,0,2212,6
Ford Credit Auto Lease Trust 2017-A,2018-08-31,32992,32651,293,48,779855905.0199989,648997044.659999,573141209.8899997,1241436514.4500084,31643,0,1349,18
Ford Credit Auto Lease Trust 2017-A,2019-08-31,8944,8804,107,33,187431904.20000014,161650147.56999952,158375880.89999992,342936533.67999995,8457,0,487,30
Ford Credit Auto Lease Trust 2017-A,2017-09-30,44859,44460,340,59,1214318024.6500041,985361726.7899997,786660135.5100007,1681217093.9100099,42691,0,2168,7
Ford Credit Auto Lease Trust 2017-A,2018-09-30,31583,31234,295,54,738672041.9699981,615193355.5099988,548651897.5900006,1189645707.940009,30301,0,1282,19
Ford Credit Auto Lease Trust 2017-A,2017-10-31,44045,43631,350,64,1177430788.7399995,958352381.8400095,771886479.7599976,1650790973.980017,41921,0,2124,8
Ford Credit Auto Lease Trust 2017-A,2018-10-31,29787,29412,320,55,688440020.3200016,575378639.7000023,517855549.4900005,1123564738.770009,28579,0,1208,20
Ford Credit Auto Lease Trust 2017-A,2017-11-30,43166,42759,328,79,1140826030.5700133,930746949.8400006,756201202.859998,1618343780.6200163,41098,0,2068,9
Ford Credit Auto Lease Trust 2017-A,2018-11-30,28028,27685,281,62,640546055.680001,536625719.63000035,487453013.94000053,1058342964.1800084,26880,0,1148,21
Ford Credit Auto Lease Trust 2017-A,2017-12-31,42385,41930,382,73,1107042541.340008,904820863.1400006,742274950.8099998,1589657539.740006,40358,0,2027,10
Ford Credit Auto Lease Trust 2017-A,2018-12-31,26522,26101,363,58,598532578.4100016,503181619.9600008,461541245.04000074,1001983905.5800074,25418,0,1104,22
Ford Credit Auto Lease Trust 2017-B,2018-01-31,51721,51322,342,57,1448960569.7999928,1174626764.8999991,915061896.300002,1964338804.1400177,47793,0,3928,4
Ford Credit Auto Lease Trust 2017-B,2019-01-31,39344,38960,315,69,953768952.6200016,800092073.209999,693480637.3699988,1501154790.85001,36215,0,3129,16
Ford Credit Auto Lease Trust 2017-B,2020-01-31,15285,15029,221,35,321612496.1899998,280042455.6699989,270768003.97000015,589378070.0500002,13778,0,1507,28
Ford Credit Auto Lease Trust 2017-B,2018-02-28,51218,50847,323,48,1416820339.9900033,1151535351.6099932,906027831.8999989,1945670588.590012,47344,0,3874,5
Ford Credit Auto Lease Trust 2017-B,2019-02-28,37817,37462,296,59,906505396.0499927,762022597.4600023,666437765.4299986,1443612240.8900156,34780,0,3037,17
Ford Credit Auto Lease Trust 2017-B,2020-02-29,12694,12509,140,45,265273655.44999936,231481458.0100003,225127159.1900003,490966091.3099996,11462,0,1232,29
Ford Credit Auto Lease Trust 2017-B,2018-03-31,50413,50088,285,40,1377143098.2600007,1122634392.1600032,891102888.150001,1915321384.8300114,46622,0,3791,6
