series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
Nissan Auto Lease Trust 2017-B,2019-08-31,98,7,110602.59999999999,68073.91,0.0
Nissan Auto Lease Trust 2017-B,2019-09-30,1,872,11766101.55,14110497.74,0.0
Nissan Auto Lease Trust 2017-B,2019-09-30,2,2285,33648058.3,35687081.73,137796.87
Nissan Auto Lease Trust 2017-B,2019-09-30,3,13,178562.5,190914.0,0.0
Nissan Auto Lease Trust 2017-B,2019-09-30,98,12,185031.3,103214.28,0.0
Nissan Auto Lease Trust 2017-B,2019-10-31,1,837,11401417.24,13541949.29,0.0
Nissan Auto Lease Trust 2017-B,2019-10-31,2,2094,31721701.189999998,32958012.689999998,113157.75
Nissan Auto Lease Trust 2017-B,2019-10-31,3,11,142204.84999999998,127515.98,0.0
Nissan Auto Lease Trust 2017-B,2019-10-31,98,13,200192.90000000002,91928.63999999998,0.0
Nissan Auto Lease Trust 2017-B,2019-11-30,1,511,6955350.65,8164320.710000001,0.0
Nissan Auto Lease Trust 2017-B,2019-11-30,2,1250,19031504.65,20023426.939999998,68319.95
Nissan Auto Lease Trust 2017-B,2019-11-30,3,6,74160.9,76596.0,0.0
Nissan Auto Lease Trust 2017-B,2019-11-30,98,12,179346.15000000002,89482.66,0.0
Nissan Auto Lease Trust 2017-B,2019-12-31,1,416,5951404.64,6894529.3,0.0
Nissan Auto Lease Trust 2017-B,2019-12-31,2,390,6763758.45,6986874.960000001,26494.81
Nissan Auto Lease Trust 2017-B,2019-12-31,3,2,24480.0,16080.06,0.0
Nissan Auto Lease Trust 2017-B,2019-12-31,98,8,142194.95,16600.0,0.0
Nissan Auto Lease Trust 2017-B,2020-01-31,1,508,7269734.5,8146562.76,0.0
Nissan Auto Lease Trust 2017-B,2020-01-31,2,3804,60738957.1,61198633.78,223816.09000000003
Nissan Auto Lease Trust 2017-B,2020-01-31,3,21,320607.4,306588.8,0.0
Nissan Auto Lease Trust 2017-B,2020-01-31,98,37,534602.65,346702.93,0.0
Nissan Auto Lease Trust 2017-B,2020-02-29,1,518,7534101.300000001,8566236.5,0.0
Nissan Auto Lease Trust 2017-B,2020-02-29,2,2071,33775405.61,30607226.8,136367.91
Nissan Auto Lease Trust 2017-B,2020-02-29,3,16,249598.95,178345.44,0.0
Nissan Auto Lease Trust 2017-B,2020-02-29,98,24,369938.4,165351.46,0.0
Nissan Auto Lease Trust 2017-B,2020-03-31,1,673,9962630.77,11460992.09,0.0
Nissan Auto Lease Trust 2017-B,2020-03-31,2,2590,41793363.79,12735839.45,179264.49
Nissan Auto Lease Trust 2017-B,2020-03-31,3,14,160761.30000000002,56108.0,0.0
Nissan Auto Lease Trust 2017-B,2020-03-31,98,14,223866.05,67306.98,0.0
Nissan Auto Lease Trust 2018-A,2018-10-31,1,143,2013886.3499999999,2586548.5599999996,0.0
Nissan Auto Lease Trust 2018-A,2018-10-31,2,25,322647.10000000003,441295.52,1820.4
Nissan Auto Lease Trust 2018-A,2018-10-31,3,17,187284.34999999998,266342.72,0.0
Nissan Auto Lease Trust 2018-A,2018-10-31,98,1,10023.0,0.0,0.0
Nissan Auto Lease Trust 2018-A,2018-11-30,1,128,1776633.35,2381733.54,0.0
Nissan Auto Lease Trust 2018-A,2018-11-30,2,24,377866.44999999995,493945.33999999997,1599.48
Nissan Auto Lease Trust 2018-A,2018-11-30,3,10,152448.05,182282.0,0.0
Nissan Auto Lease Trust 2018-A,2018-12-31,1,143,1889033.15,2051221.4,0.0
Nissan Auto Lease Trust 2018-A,2018-12-31,2,9,134822.6,199027.43,21.78
Nissan Auto Lease Trust 2018-A,2018-12-31,3,4,40080.15,52667.9,0.0
Nissan Auto Lease Trust 2018-A,2019-01-31,1,149,2021427.1,2164039.4299999997,0.0
Nissan Auto Lease Trust 2018-A,2019-01-31,2,95,1252534.9500000002,1534494.5999999999,3660.23
Nissan Auto Lease Trust 2018-A,2019-01-31,3,39,456100.75,584966.04,0.0
Nissan Auto Lease Trust 2018-A,2019-01-31,98,4,53557.75,65730.02,0.0
Nissan Auto Lease Trust 2018-A,2019-02-28,1,104,1352037.85,1605283.37,0.0
Nissan Auto Lease Trust 2018-A,2019-02-28,2,84,1139909.35,1383247.7599999998,3562.4700000000003
Nissan Auto Lease Trust 2018-A,2019-02-28,3,37,498697.25000000006,663201.0,0.0
Nissan Auto Lease Trust 2018-A,2019-02-28,98,6,86049.15,76649.4,0.0
Nissan Auto Lease Trust 2018-A,2019-03-31,1,163,2118944.0500000003,2555756.6900000004,0.0
Nissan Auto Lease Trust 2018-A,2019-03-31,2,98,1332912.7499999998,1753332.0799999998,3524.7
Nissan Auto Lease Trust 2018-A,2019-03-31,3,26,286437.6,379751.0,0.0
Nissan Auto Lease Trust 2018-A,2019-03-31,98,7,95212.0,79640.63,0.0
Nissan Auto Lease Trust 2018-A,2019-04-30,1,123,1675405.5999999999,2283759.13,0.0
Nissan Auto Lease Trust 2018-A,2019-04-30,2,138,1874863.45,2325638.3099999996,10430.400000000001
Nissan Auto Lease Trust 2018-A,2019-04-30,3,25,283312.85,373365.08,0.0
Nissan Auto Lease Trust 2018-A,2019-04-30,98,6,90310.9,69552.86,0.0
Nissan Auto Lease Trust 2018-A,2019-05-31,1,168,2275667.0999999996,2921996.07,0.0
Nissan Auto Lease Trust 2018-A,2019-05-31,2,171,2372259.3499999996,2926746.9699999997,7673.26
Nissan Auto Lease Trust 2018-A,2019-05-31,3,31,408685.65,582971.52,0.0
Nissan Auto Lease Trust 2018-A,2019-05-31,98,3,47040.9,41824.82,0.0
Nissan Auto Lease Trust 2018-A,2019-06-30,1,178,2264767.5,2802174.46,0.0
Nissan Auto Lease Trust 2018-A,2019-06-30,2,241,3377126.3499999996,4139701.17,15337.78
Nissan Auto Lease Trust 2018-A,2019-06-30,3,23,299540.05,348662.0,0.0
Nissan Auto Lease Trust 2018-A,2019-06-30,98,3,32543.6,41006.05,0.0
Nissan Auto Lease Trust 2018-A,2019-07-31,1,215,2954316.3000000003,3907664.63,0.0
Nissan Auto Lease Trust 2018-A,2019-07-31,2,262,3660544.5,4495732.119999999,23724.870000000003
Nissan Auto Lease Trust 2018-A,2019-07-31,3,25,286640.2,382964.74,0.0
Nissan Auto Lease Trust 2018-A,2019-07-31,98,8,122650.8,96732.96999999999,0.0
Nissan Auto Lease Trust 2018-A,2019-08-31,1,273,3595770.25,4780635.35,0.0
Nissan Auto Lease Trust 2018-A,2019-08-31,2,379,5346562.15,6333464.56,27650.0
Nissan Auto Lease Trust 2018-A,2019-08-31,3,23,314682.54999999993,368067.0,0.0
Nissan Auto Lease Trust 2018-A,2019-08-31,98,5,76409.44999999998,77357.16,0.0
Nissan Auto Lease Trust 2018-A,2019-09-30,1,316,4182615.5999999996,5476303.08,0.0
Nissan Auto Lease Trust 2018-A,2019-09-30,2,495,7093982.050000001,7993746.35,40058.28
Nissan Auto Lease Trust 2018-A,2019-09-30,3,24,292759.6,353636.0,0.0
Nissan Auto Lease Trust 2018-A,2019-09-30,98,8,97899.85,31124.97,0.0
Nissan Auto Lease Trust 2018-A,2019-10-31,1,333,4384910.65,5893857.029999999,0.0
Nissan Auto Lease Trust 2018-A,2019-10-31,2,737,10595396.85,11285729.709999999,53575.08
Nissan Auto Lease Trust 2018-A,2019-10-31,3,28,329690.8,394338.65,0.0
Nissan Auto Lease Trust 2018-A,2019-10-31,98,3,23628.15,12917.43,0.0
Nissan Auto Lease Trust 2018-A,2019-11-30,1,287,3805199.25,4635517.27,0.0
Nissan Auto Lease Trust 2018-A,2019-11-30,2,660,9472477.55,10334816.11,36819.96
Nissan Auto Lease Trust 2018-A,2019-11-30,3,12,136916.95,165995.0,0.0
Nissan Auto Lease Trust 2018-A,2019-11-30,98,7,83638.15,16668.82,0.0
Nissan Auto Lease Trust 2018-A,2019-12-31,1,269,3407221.7,4059774.32,0.0
Nissan Auto Lease Trust 2018-A,2019-12-31,2,244,3602768.4000000004,4010513.6799999997,14034.08
Nissan Auto Lease Trust 2018-A,2019-12-31,3,4,48343.350000000006,53784.0,0.0
