series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
Nissan Auto Lease Trust 2019-B,2020-08-31,62611,62069,368,174,1374790510.0499997,1078441051.509994,880983021.5099956,2102621324.11,62568,0,43,14
Nissan Auto Lease Trust 2019-B,2021-08-31,24397,24129,203,65,486178357.250003,386453100.5099988,356002427.0499951,848560190.0,24384,0,13,26
Nissan Auto Lease Trust 2019-B,2019-09-30,72517,72193,219,105,1853972919.559993,1431341506.05,1011967714.1199994,2419954379.14,72467,0,50,3
Nissan Auto Lease Trust 2019-B,2020-09-30,59147,58740,255,152,1290123354.309989,1013831569.6100103,835399267.130021,1991645792.26,59107,0,40,15
Nissan Auto Lease Trust 2019-B,2021-09-30,21643,21449,129,65,427000564.9699998,340565546.0600007,317470320.90000105,753522645.0,21631,0,12,27
Nissan Auto Lease Trust 2019-B,2019-10-31,72043,71542,423,78,1816122875.7300112,1404265210.5199955,1005959077.4200331,2405218364.14,71993,0,50,4
Nissan Auto Lease Trust 2019-B,2020-10-31,55808,55261,398,149,1209156535.6099966,951689101.4899995,791553439.9499978,1884732200.98,55771,0,37,16
Nissan Auto Lease Trust 2019-B,2021-10-31,19126,18833,222,71,373460332.7000014,298708799.8499994,281925845.2999966,666415245.0,19117,0,9,28
Nissan Auto Lease Trust 2019-B,2019-11-30,71633,71211,301,121,1779910834.9799848,1378353195.4299986,1000516212.620002,2391911414.14,71585,0,48,5
Nissan Auto Lease Trust 2019-B,2020-11-30,52682,52217,311,154,1133594230.7599952,893556707.2299978,750104238.5500104,1784230668.98,52645,0,37,17
Nissan Auto Lease Trust 2019-B,2021-11-30,16704,16472,148,84,322372294.4599988,258966467.72999942,247411322.04999572,582233195.0,16696,0,8,29
Nissan Auto Lease Trust 2019-B,2019-12-31,71221,70592,491,138,1744288832.469989,1352728112.2900076,995105245.8700327,2378905044.14,71174,0,47,6
Nissan Auto Lease Trust 2019-B,2020-12-31,49211,48626,426,159,1052195830.280004,830292444.8199996,702746487.9999964,1671496728.98,49178,0,33,18
Nissan Auto Lease Trust 2019-B,2021-12-31,13405,13127,202,76,255994175.04999986,206944869.4200002,199725530.04999658,466955120.0,13398,0,7,30
Nissan Auto Lease Trust 2020-A,2020-01-31,71526,71291,228,7,1893449656.4599931,1482913668.5700164,1029693823.8500096,2384050827.0,71436,0,90,1
Nissan Auto Lease Trust 2020-A,2021-01-31,61856,61396,325,135,1390131566.1299894,1110669845.09999,894316540.9000025,2071682457.0,61777,0,79,13
Nissan Auto Lease Trust 2020-A,2022-01-31,29707,29365,245,97,582181603.8300004,469030802.4500004,424047601.1499996,999845412.0,29671,0,36,25
Nissan Auto Lease Trust 2020-A,2021-02-28,59547,59052,388,107,1324318104.889999,1059151391.6799964,860688798.250018,1995740812.0,59471,0,76,14
Nissan Auto Lease Trust 2020-A,2022-02-28,26817,26521,215,81,521768682.2099993,420881733.14000124,384586243.99999785,908039202.0,26788,0,29,26
Nissan Auto Lease Trust 2020-A,2020-02-29,71225,70943,232,50,1859888351.2299917,1459411426.7399905,1025807230.5499818,2374959922.0,71135,0,90,2
