series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
World Omni Automobile Lease Securitization Trust 2020-A,2021-01-31,2,162,3204064.12,4176816.3900000006,13218.23
World Omni Automobile Lease Securitization Trust 2020-A,2021-01-31,3,399,6920951.31,8309940.73,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2021-01-31,98,219,3703340.4,4265029.24,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-01-31,1,7617,144886794.84,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-01-31,2,135,2296109.1199999996,3583537.34,6429.79
World Omni Automobile Lease Securitization Trust 2020-A,2022-01-31,3,302,5119013.9799999995,6612950.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-01-31,98,96,1549560.08,1446576.3599999999,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-02-28,1,990,18053829.75,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-02-28,2,4,66322.64,106005.75,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-02-28,3,15,253592.84,290050.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-02-28,98,1,14640.5,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-03-31,1,1441,26703830.99,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-03-31,2,3,55937.63,83710.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-03-31,3,16,251675.56,218350.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-03-31,98,4,73996.36,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-04-30,1,1559,28367985.21,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-04-30,2,6,89701.76,152978.04,3763.16
World Omni Automobile Lease Securitization Trust 2020-A,2022-04-30,3,14,288317.9,263200.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-04-30,98,3,39113.71,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-05-31,1,1818,33076512.36,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-05-31,2,10,185268.21000000002,271902.77,1049.23
World Omni Automobile Lease Securitization Trust 2020-A,2022-05-31,3,12,190917.58000000002,256007.13,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-05-31,98,4,66766.84,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-06-30,1,2459,45635070.47,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-06-30,2,7,135603.99,204136.05,388.34
World Omni Automobile Lease Securitization Trust 2020-A,2022-06-30,3,12,192576.44,283300.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-06-30,98,1,11072.88,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-07-31,1,2844,52865425.019999996,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-07-31,2,17,324090.25,433493.11,2461.66
World Omni Automobile Lease Securitization Trust 2020-A,2022-07-31,3,4,77119.91,53500.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-07-31,98,1,21135.4,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-08-31,1,3087,56960266.02,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-08-31,2,27,576467.1399999999,706453.06,4214.9
World Omni Automobile Lease Securitization Trust 2020-A,2022-08-31,3,22,399994.56,505050.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-08-31,98,2,41612.990000000005,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-09-30,1,2704,49562095.65,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-09-30,2,25,494003.52,439555.77999999997,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-09-30,3,8,111360.01999999999,145650.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-09-30,98,2,56747.84,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-10-31,1,2486,44469244.53,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-10-31,2,29,643059.2999999999,108652.55,421.13
World Omni Automobile Lease Securitization Trust 2020-A,2022-10-31,3,7,117623.54,40100.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2022-10-31,98,7,125372.7,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2021-01-31,1,814,18099947.560000002,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2021-01-31,2,146,3318190.0,3774555.96,38260.130000000005
World Omni Automobile Lease Securitization Trust 2020-B,2021-01-31,3,102,1694795.5399999996,2019417.0,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2021-01-31,98,64,1003623.8399999999,1285629.21,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2022-01-31,1,4850,97507061.16999999,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2022-01-31,2,151,2899033.19,4333112.1899999995,11020.960000000001
World Omni Automobile Lease Securitization Trust 2020-B,2022-01-31,3,259,4461263.0600000005,5921566.99,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2022-01-31,98,98,1516117.08,1836675.8699999999,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2023-01-31,1,11686,213570492.62,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2023-01-31,2,56,1116443.5699999998,1564049.33,4773.5
World Omni Automobile Lease Securitization Trust 2020-B,2023-01-31,3,158,2899729.3900000006,3053450.0,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2023-01-31,98,38,743361.6499999999,56709.57,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2023-02-28,1,2147,39361215.81,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2023-02-28,2,16,297907.05000000005,423236.38,529.5
World Omni Automobile Lease Securitization Trust 2020-B,2023-02-28,3,12,255800.27,278700.0,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2023-02-28,98,4,76953.24,16309.36,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2023-03-31,1,2548,48194460.4,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2023-03-31,2,29,594624.9500000001,781790.0,1648.4299999999998
World Omni Automobile Lease Securitization Trust 2020-B,2023-03-31,3,16,316359.56000000006,417000.0,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2023-03-31,98,3,64517.98,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2023-04-30,1,2079,40207202.11,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2023-04-30,2,22,399478.02,475199.79000000004,929.4399999999999
World Omni Automobile Lease Securitization Trust 2020-B,2023-04-30,3,12,237753.02000000002,281750.0,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2023-04-30,98,1,15925.05,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2023-05-31,1,2368,45168459.5,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2023-05-31,2,35,662353.8000000002,147746.0,1025.0
World Omni Automobile Lease Securitization Trust 2020-B,2023-05-31,3,8,123949.52,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-B,2023-05-31,98,2,38263.51,32727.51,0.0
World Omni Automobile Lease Securitization Trust 2021-A,2022-01-31,1,3166,68759422.84,0.0,0.0
World Omni Automobile Lease Securitization Trust 2021-A,2022-01-31,2,70,1320148.3299999998,2132927.13,7329.450000000001
World Omni Automobile Lease Securitization Trust 2021-A,2022-01-31,3,113,2083318.7000000002,2512125.0,0.0
World Omni Automobile Lease Securitization Trust 2021-A,2022-01-31,98,35,611700.59,459728.92,0.0
World Omni Automobile Lease Securitization Trust 2021-A,2023-01-31,1,5209,107910406.17,0.0,0.0
World Omni Automobile Lease Securitization Trust 2021-A,2023-01-31,2,47,1030818.5300000001,1504122.1500000001,2733.5
World Omni Automobile Lease Securitization Trust 2021-A,2023-01-31,3,190,3576752.66,3232775.0,0.0
World Omni Automobile Lease Securitization Trust 2021-A,2023-01-31,98,49,958981.76,256001.8,0.0
World Omni Automobile Lease Securitization Trust 2021-A,2024-01-31,1,17072,338935926.90999997,0.0,0.0
World Omni Automobile Lease Securitization Trust 2021-A,2024-01-31,2,276,6091900.16,6113370.68,44944.869999999995
World Omni Automobile Lease Securitization Trust 2021-A,2024-01-31,3,193,3774988.2800000003,3663575.0,0.0
World Omni Automobile Lease Securitization Trust 2021-A,2024-01-31,98,41,906189.37,137472.37,0.0
World Omni Automobile Lease Securitization Trust 2021-A,2024-02-29,1,1728,34494141.09,0.0,0.0
World Omni Automobile Lease Securitization Trust 2021-A,2024-02-29,2,110,2564823.5300000003,274458.39,110.0
World Omni Automobile Lease Securitization Trust 2021-A,2024-02-29,3,12,264528.47000000003,0.0,0.0
World Omni Automobile Lease Securitization Trust 2021-A,2024-02-29,98,4,100621.92,27765.38,0.0
World Omni Automobile Lease Securitization Trust 2022-A,2022-01-31,1,51,0.0,0.0,0.0
World Omni Automobile Lease Securitization Trust 2022-A,2022-01-31,98,1,0.0,0.0,0.0
World Omni Automobile Lease Securitization Trust 2022-A,2023-01-31,1,3997,83957864.66999999,0.0,0.0
World Omni Automobile Lease Securitization Trust 2022-A,2023-01-31,2,43,965448.7999999999,1466167.87,3556.24
World Omni Automobile Lease Securitization Trust 2022-A,2023-01-31,3,154,2893021.42,2930300.0,0.0
World Omni Automobile Lease Securitization Trust 2022-A,2023-01-31,98,30,555843.3400000001,135521.22999999998,0.0
World Omni Automobile Lease Securitization Trust 2022-A,2024-01-31,1,11169,222361570.71999997,0.0,0.0
World Omni Automobile Lease Securitization Trust 2022-A,2024-01-31,2,161,3468067.32,4237980.67,25136.4
World Omni Automobile Lease Securitization Trust 2022-A,2024-01-31,3,283,5575258.199999999,5781475.0,0.0
World Omni Automobile Lease Securitization Trust 2022-A,2024-01-31,98,54,1092103.78,415366.92,0.0
World Omni Automobile Lease Securitization Trust 2022-A,2024-02-29,1,1521,29933635.160000004,0.0,0.0
World Omni Automobile Lease Securitization Trust 2022-A,2024-02-29,2,61,1398845.71,1652425.77,18397.96
World Omni Automobile Lease Securitization Trust 2022-A,2024-02-29,3,22,420412.48000000004,445500.0,0.0
World Omni Automobile Lease Securitization Trust 2022-A,2024-02-29,98,8,203221.06,95840.87,0.0
World Omni Automobile Lease Securitization Trust 2022-A,2024-03-31,1,1787,35297523.449999996,0.0,0.0
World Omni Automobile Lease Securitization Trust 2022-A,2024-03-31,2,69,1600917.3399999999,1950405.02,26334.66
World Omni Automobile Lease Securitization Trust 2022-A,2024-03-31,3,17,393639.57999999996,453900.0,0.0
World Omni Automobile Lease Securitization Trust 2022-A,2024-03-31,98,9,177478.71000000002,76772.31,0.0
World Omni Automobile Lease Securitization Trust 2022-A,2024-04-30,1,2167,42556149.7,0.0,0.0
World Omni Automobile Lease Securitization Trust 2022-A,2024-04-30,2,58,1297146.11,1536240.75,7755.1900000000005
World Omni Automobile Lease Securitization Trust 2022-A,2024-04-30,3,24,473040.73,492550.0,0.0
World Omni Automobile Lease Securitization Trust 2022-A,2024-04-30,98,10,213698.62,96563.23,0.0
World Omni Automobile Lease Securitization Trust 2022-A,2024-05-31,1,2212,44294969.18,0.0,0.0
World Omni Automobile Lease Securitization Trust 2022-A,2024-05-31,2,105,2403837.5500000003,2781414.4,18053.440000000002
