issuer_code,deal_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
AMCAR,2021,3,2750075.88000000,4631791159.26999187,14689320.12000000,0.00317141
AMCAR,2021,4,2036067.32000000,4631791159.26999187,16725387.44000000,0.00361100
AMCAR,2021,5,1692567.58000000,4631791159.26999187,18417955.02000000,0.00397642
AMCAR,2021,6,4040691.95000000,4631791159.26999187,22458646.97000000,0.00484880
AMCAR,2021,7,4157175.38000000,4631791159.26999187,26615822.35000000,0.00574633
AMCAR,2021,8,3983049.56000000,4631791159.26999187,30598871.91000000,0.00660627
AMCAR,2021,9,3277965.55000000,4631791159.26999187,33876837.46000000,0.00731398
AMCAR,2021,10,3174447.84000000,4631791159.26999187,37051285.30000000,0.00799934
AMCAR,2021,11,2424647.40000000,4631791159.26999187,39475932.70000000,0.00852282
AMCAR,2021,12,3097480.52000000,4631791159.26999187,42573413.22000000,0.00919157
AMCAR,2021,13,3207859.15000000,4631791159.26999187,45781272.37000000,0.00988414
AMCAR,2021,14,3127986.68000000,4631791159.26999187,48909259.05000000,0.01055947
AMCAR,2021,15,1847074.18000000,4631791159.26999187,50756333.23000000,0.01095825
AMCAR,2021,16,1521038.24000000,4631791159.26999187,52277371.47000000,0.01128664
AMCAR,2021,17,1088885.52000000,4631791159.26999187,53366256.99000000,0.01152173
AMCAR,2021,18,2441620.25000000,4631791159.26999187,55807877.24000000,0.01204888
AMCAR,2021,19,1841052.69000000,4631791159.26999187,57648929.93000000,0.01244636
AMCAR,2021,20,2076418.01000000,4631791159.26999187,59725347.94000001,0.01289465
AMCAR,2021,21,1568758.46000000,4631791159.26999187,61294106.40000001,0.01323335
AMCAR,2021,22,989641.48000000,4631791159.26999187,62283747.88000000,0.01344701
AMCAR,2022,0,2840258.43000000,2346059074.77999496,2840258.43000000,0.00121065
AMCAR,2022,1,2512239.32000000,2346059074.77999496,5352497.75000000,0.00228148
AMCAR,2022,2,2333028.51000000,2346059074.77999496,7685526.26000000,0.00327593
AMCAR,2022,3,2592907.83000000,2346059074.77999496,10278434.09000000,0.00438115
AMCAR,2022,4,1645083.01000000,2346059074.77999496,11923517.10000000,0.00508236
AMCAR,2022,5,1139090.61000000,2346059074.77999496,13062607.71000000,0.00556789
AMCAR,2022,6,3328746.25000000,2346059074.77999496,16391353.96000000,0.00698676
AMCAR,2022,7,3545705.19000000,2346059074.77999496,19937059.15000000,0.00849811
AMCAR,2022,8,2508035.68000000,2346059074.77999496,22445094.83000000,0.00956715
AMCAR,2022,9,2739828.69000000,2346059074.77999496,25184923.52000000,0.01073499
AMCAR,2022,10,2639644.05000000,2346059074.77999496,27824567.57000000,0.01186013
AMCAR,2022,11,2196844.72000000,2346059074.77999496,30021412.29000000,0.01279653
AMCAR,2022,12,2444533.46000000,2346059074.77999496,32465945.75000000,0.01383850
AMCAR,2022,13,2307356.13000000,2346059074.77999496,34773301.88000000,0.01482201
AMCAR,2022,14,2214954.77000000,2346059074.77999496,36988256.65000000,0.01576612
AMCAR,2022,15,1967089.04000000,2346059074.77999496,38955345.69000000,0.01660459
AMCAR,2022,16,1780835.37000000,2346059074.77999496,40736181.06000000,0.01736366
AMCAR,2022,17,1714936.65000000,2346059074.77999496,42451117.71000000,0.01809465
AMCAR,2022,18,1192351.02000000,2346059074.77999496,43643468.73000000,0.01860289
AMCAR,2022,19,831906.02000000,2346059074.77999496,44475374.75000000,0.01895748
AMCAR,2023,0,8123313.31000000,4214120894.15001011,8123313.31000000,0.00192764
AMCAR,2023,1,8327349.80000000,4214120894.15001011,16450663.11000000,0.00390370
AMCAR,2023,2,7591375.55000000,4214120894.15001011,24042038.66000000,0.00570511
AMCAR,2023,3,7188350.53000000,4214120894.15001011,31230389.19000001,0.00741089
AMCAR,2023,4,4876167.62000000,4214120894.15001011,36106556.81000000,0.00856799
AMCAR,2023,5,6171946.25000000,4214120894.15001011,42278503.06000000,0.01003258
AMCAR,2023,6,7731879.87000000,4214120894.15001011,50010382.93000000,0.01186733
AMCAR,2023,7,7874677.08000000,4214120894.15001011,57885060.01000001,0.01373598
